Eng-Rus_word_pairs
The Supreme Court shall also perform other activities specified in the Constitution and statutes.,Вeрхoвный Суд oсущeствляeт тaкжe иные дeйствия oпрeдeлeнныe Кoнституциeй и зaкoнaми.
Also suited for carrying disabled persons.,ПРИСПОСОБЛЕННЫХ ТАКЖЕ ДЛЯ ПЕРЕВОЗКИ.
There is also a selection of various snacks desserts and soups.,ТАКЖЕ ИМЕЮТСЯ РАЗДЕЛЫ ЗАКУСОК ДЕСЕРТОВ И СУПОВ.
ALL cars are also available with CHAUFFEUR.,ВСЕ АВТОМОБИЛИ ТАКЖЕ ДОСТУПНЫ С ВОДИТЕЛЕМ.
Also convinced that the responsibility for development rests primarily with States.,БУДУЧИ УБЕЖДЕНЫ ТАКЖЕ в том что ответственность за процесс развития несут прежде всего государства.
Please also see.,СМ. ТАКЖЕ.
See Also Members.,СМ. ТАКЖЕ.
Also the cost of one transplant equals the cost of three other operations.,Кpoме тoгo cтoимocть oднoй пеpеcaдки paвнa cтoимocти тpех дpугих oпеpaций.
The outage also affected flights in the region.,Tакже это повлияло на полеты самолетов в этом регионе.
Also paid analytics systems issue a bill depending on the number of the sent events.,Плюс платные системы аналитики выставляют счет в зависимости от количества присланных событий.
Uh that's also a type of math.,Но это же тоже вид математики.
If the URL starts with@  it's also interpreted as a module request.,Если URL начинается с@ то также будет истолковываться как запрос модуля.
One speaker also emphasized the importance of the principle of multilingualism.,Один из выступавших также подчеркнул важность принципа многоязычия.
Also I got you this coffee.,И еще я взял этот кофе для тебя.
Also today I call you to prayer.,И сегодня Я призываю вас к молитве.
Also self-contained.,И автономные.
But also the great deeds the valiant actions.,Ќо также дл€ великих подвигов отважных поступков.
She also prepares documents for the Supreme Court.,Она участвует в подготовке документов для Верховного суда.
They are also sellers.,Они являются также и продавцами.
Such a fact was also undermining for the plans of the founders of Christianity.,Этот факт опять-таки подрывал планы основателей религии.
There's also anti-matter.,Но существует еще и антиматерия.
But I also like boys.,Но мне и парни нравятся.
Also Ted Marcus called.,И еще Тед Маркус звонил.
Also use sites you have visited recently?,Будем использовать информацию о недавно посещенных вами сайтах?
Also use info from our ad partners?,Будем использовать информацию от наших рекламных партнеров?
It's also toxic so I'm wearing a triple layer of gloves here.,Акже она токсична поэтому€ одел перчатки с трехслойной защитой.
There are also new opportunities.,Открываются также и новые возможности.
Also please do connect to the Internet.,И еще: не забывайте подключаться к Интернету.
Apple's iMessage and Facetime apps also provide full end-to-end encryption by default.,Приложения IMessage и FaceTime от Apple также обеспечивают полное шифрование от конца в конец по умолчанию.
She also said she loves you very much.,"ЩЄ она сказала..."" то очень сильно вас любит."
Unlike the metal parts which can burn your hands!,В отличии от железных о которые можно обжечься!
Problems which the developing countries face in their efforts.,ИССЛЕДОВАНИЕ ОСОБЫХ ПРОБЛЕМ С КОТОРЫМИ СТАЛКИВАЮТСЯ РАЗВИВАЮЩИЕСЯ СТРАНЫ В СВОЕЙ ДЕЯТЕЛЬНОСТИ ПО.
Of special problems which the developing.,ОСОБЫХ ПРОБЛЕМ С КОТОРЫМИ СТАЛКИВАЮТСЯ.
An ideal which many I'm afraid have rather lost sight of.,Идеал о которым многие боюсь уже не имеют представления.
This is a permanent challenge which every society and every citizen must face.,Это постоянная проблема бороться с который должно каждое общество и каждый гражданин.
Which you disagreed with?,С который ты не согласился?
They gained one seat which rotated between the PSP and PPR.,Они получили одно место на которым периодически чередовались ПСП и ППР.
In Brussels Egypt introduced a non-paper which underscored concerns previously highlighted.,В Брюсселе Египет представил неофициальный документ в которым перечислялись вышеупомянутые проблемы.
Percent of the equivalent of Los Angeles which was Nagoya.,Процентов эквивалента Лос-Анджелеса размером с который была Нагоя.
How do I know which one to shoot?,Откуда я знаю в которого стрелять?
Which you won't.,Чего ты не сделаешь.
Which you did not do right?,Чего вы не делали верно?
Which is ironic,Да уж ирония судьбы.
Which you did not do.,Чего ты не сделала.
Which Denny's?,Какого Денни?
Which do you want?,Чего ты хочешь?»?
Which specific preferences do a country's various groups of clients have?,Какими особенными требованиями отличаются разные клиентские группы данной страны?
Which yet my soul sought but I found not;,Чего еще искала душа моя и я не нашел?-.
Which have a flight range of?,А какая у них дальность полета?
Which contemporary artists are you interested in?,Какими современными художниками Вы интересуетесь?
Which university?,Каком университете?
"Which""man""?",Какому человеку?
Which one did Dana stay in?,В каком из них останавливалась Дана?
Which lie then?,Тогда которой именно лжи?
