Eng,Rus
Those,"['тех кто', 'лиц', 'указанных', 'лица', 'те кто', 'тем кто', 'лицам', 'теми кто', 'указанные', 'лицами', 'указанным', 'указанными']"
Company,"['компания', 'предприятие', 'фирма', 'общество', 'рота', 'общества', 'компани', 'корпоративных', 'компании', 'компанией', 'компанию', 'предприятия', 'фирмы', 'роты', 'обществом', 'предприятии', 'обществе', 'предприятием', 'фирму', 'роту', 'фирме', 'роте', 'корпоративной', 'корпоративные', 'корпоративного']"
Annex,"['приложение', 'приложении', 'приложения', 'приложению']"
Increase,"['увеличение', 'рост', 'возрастать', 'прирост', 'активизировать', 'наращивать', 'более', 'расти', 'возрастание', 'повышения', 'увеличить', 'расширения', 'повысить', 'расширить', 'усиления', 'усилить', 'активизации', 'наращивания', 'вырасти']"
Scientific,"['научно', 'ученый', 'наука', 'научных', 'науки', 'научные', 'научной', 'научного', 'ученого', 'ученых', 'ученой', 'наук', 'науке']"
Protocol,"['протокол', 'протокола', 'протокольных', 'протоколу', 'протоколом', 'протокольные', 'протокольного', 'протокольное']"
Reported,"['сообщили', 'представлены', 'доложил', 'зарегистрированных', 'сообщений', 'доклад', 'отчитались', 'отчетность', 'зафиксировано', 'отчет', 'отмечалось', 'указывалось']"
Asked,"['спрашивает', 'просил', 'предложено', 'задаваемые', 'задает вопрос', 'поинтересовалась', 'обратился', 'поручила', 'пригласил', 'запросила', 'потребовал']"
Minutes,"['минут', 'протокол', 'мин', 'минутной', 'минуты', 'минутах', 'протоколы', 'минутами', 'протоколов', 'протокола', 'минутный', 'минутная', 'минутного', 'мину']"
Sessions,"['сессиях', 'заседания', 'занятия', 'сеансы', 'сессий', 'сессии', 'сессиями', 'заседаний', 'занятий', 'заседаниях', 'сеансов', 'сеанса', 'занятиях', 'сеансах', 'заседаниями', 'занятиями']"
Involved,"['участвующих', 'вовлеченных', 'занимающихся', 'причастных', 'связанных', 'задействованных', 'принимающих участие', 'привлечены', 'включала', 'замешан', 'предусматривает', 'участие', 'затрагиваемых', 'предполагает', 'сопряжено', 'сопряженных', 'втянут']"
Blood,"['кровь', 'кровавый', 'кровеносный', 'кровный', 'крови', 'кровяное', 'кровеносных', 'артериального', 'кровные', 'кровью', 'кровяного', 'артериальное', 'кровеносные', 'кровяных', 'кровяные', 'кровавые', 'кровавых', 'кровавая', 'артериальным', 'кровных', 'артериальном', 'кровными', 'кровеносными', 'кровей']"
Risks,"['риски', 'опасности', 'угрозы', 'рискует', 'рисков', 'рисками', 'риска', 'опасность', 'опасностей', 'угрозу', 'опасностях', 'угроз', 'угроза', 'рискуют', 'рисковать', 'рискуем']"
Daily,"['ежедневно', 'daily', 'дневной', 'в день', 'дейли', 'дэйли', 'ежедневные', 'повседневной', 'суточная', 'каждодневной']"
Entities,"['организаций', 'структурами', 'подразделениями', 'субъектов', 'органов', 'учреждениями', 'образований', 'юридических лиц', 'сущности', 'лиц']"
Latest,"['последние', 'новейшие', 'свежие', 'позднее', 'последних', 'последней', 'последний', 'новейших', 'новейшими', 'новейшим', 'свежую', 'свежих', 'позже', 'свежий', 'поздно']"
Web,"['веб', 'web', 'интернет', 'wеь', 'паутина', 'вэб', 'сети', 'сайта', 'вебсайте', 'полотна']"
Transitional,"['временный', 'переходного', 'временной', 'переходное', 'переходных', 'переходным', 'временного', 'временная']"
Button,"['кнопка', 'клавиша', 'баттон', 'пуговица', 'кнопку', 'клавишу', 'пуговицу', 'кнопки', 'кнопкой', 'клавиши', 'пуговицы', 'клавишей', 'баттона', 'пуговиц', 'баттоном', 'баттоне']"
Teachers,"['учителей', 'преподавателей', 'педагогов', 'педагогических', 'преподавательского', 'учительского', 'воспитателей', 'учителя', 'преподаватели', 'учителями', 'учителям', 'преподавателями', 'педагоги', 'преподавателям', 'педагогами', 'педагогам', 'педагогический', 'воспитатели', 'учительских', 'педагогического', 'преподавательский', 'педагогические', 'учительский', 'преподавательских', 'воспитателями', 'учительские', 'преподавательскими', 'воспитателя']"
Nevertheless,"['однако', 'тем не менее', 'вместе с тем', 'между тем', 'однакож']"
Engine,"['двигатель', 'движок', 'engine', 'мотор', 'система', 'моторный', 'локомотив', 'двигателя', 'моторного', 'локомотивом', 'машинного', 'двигателем', 'двигателей', 'моторном', 'движка', 'движке', 'моторное', 'мотора', 'движком', 'мотором', 'систему', 'локомотива', 'системы', 'машинное', 'машинном', 'системе', 'машинные', 'моторов', 'локомотиву']"
Tried,"['пытался', 'старался', 'пробовал', 'судимым', 'хотел', 'стремились', 'попытки', 'перепробовали', 'предстал', 'пыталась', 'пытались', 'старались', 'пробовали', 'старалась', 'пытается', 'пробовала', 'хотела', 'судим', 'судимы', 'хотели', 'судить', 'стараемся', 'стремился', 'стремится', 'перепробовал', 'попытке', 'попытка', 'стремилась', 'попытку', 'пробует', 'перепробовала', 'предстали', 'предстать', 'хочет', 'представших']"
Summary,"['резюме', 'краткий', 'сводка', 'кратко', 'обобщение', 'отчет', 'сводная', 'суммарных', 'упрощенного', 'обобщенные', 'казни']"
Relatively,"['сравнительно', 'довольно', 'достаточно', 'с относительно', 'за относительно', 'на относительно', 'в относительно', 'об относительно', 'при относительно', 'относительной', 'относительно небольшое']"
Waste,"['трата', 'тратить', 'терять', 'отходов', 'сточных', 'мусора', 'отработанных', 'расточительства', 'утильных', 'утилизации']"
