Eng,Rus
Sociology,"['социология', 'социологии', 'социологических', 'социологию', 'социологией', 'социологические', 'социологический', 'социологическое']"
Broadway,"['бродвейский', 'бродвей', 'broadway', 'бродвее', 'бродвея', 'бродвейских', 'бродвейского', 'бродвейском', 'бродвею']"
Featuring,"['апартаменты', 'оснащен', 'featuring', 'имеет', 'изображены', 'отличая', 'гостевой', 'удобствами', 'фигурирует', 'функции', 'гости', 'отличающ', 'фичеринг', 'характерный']"
Marc,"['марк', 'marc', 'марка', 'марком', 'марке']"
Part-time,"['неполный рабочий день', 'внештатный', 'на полставки', 'неполной', 'частичной', 'заочного', 'по совместительству', 'на условиях неполной занятости', 'заочников', 'работающим на условиях частичной занятости', 'работающих неполный день', 'в течение неполного дня', 'работающих на неполную ставку', 'неполное рабочее время', 'работает', 'подрабатываю', 'совместителем', 'почасовик', 'дня', 'занятых неполный день', 'повременной']"
Earthquakes,"['землетрясения', 'эртквейкс', 'землятрясения', 'землятресения', 'землетрясений', 'землетрясениями', 'землетрясениям']"
Timeline,"['график', 'хронология', 'срок', 'timeline', 'таймлайн', 'сроки', 'временной линии', 'временной шкале', 'временные рамки', 'линия времени', 'сроков', 'графика', 'сроках', 'графиком', 'графике', 'временную линию', 'хронологию', 'временная шкала', 'временную шкалу', 'временной шкалы', 'временная линия', 'хронологии', 'таймлайна', 'хронологией', 'временных рамок']"
Mailing,"['почтовый', 'рассылка', 'рассылки', 'адресатов', 'рассылочные', 'почты', 'отправки', 'отправления', 'рассылки почтовых отправлений', 'почтовых', 'почтовые', 'рассылку', 'рассылок', 'почтового', 'рассылочный', 'отправка', 'почтой', 'почте', 'рассылочных', 'почта']"
Rewarded,"['вознаграждены', 'вознаграждение', 'награду', 'поощрения', 'получить', 'отблагодарили', 'вознагражден', 'вознаграждена', 'вознаграждено', 'вознаграждения', 'наградой', 'награда', 'награды']"
Resting,"['отдыха', 'покоится', 'покоя', 'лежит', 'упираясь', 'упокоения', 'оставались', 'пристанище', 'успокоения', 'отдых', 'покоящегося', 'покоящейся', 'покоящихся', 'отдыхом', 'пристанища', 'покой', 'лежащую']"
Hut,"['хижина', 'hut', 'домик', 'избушка', 'дом', 'шалаш', 'хат', 'избу', 'лачуге', 'курень', 'чум', 'хатку', 'лачужка']"
Florists,"['флористов', 'цветоводы', 'флористы', 'флористам', 'флористами']"
Uploading,"['загрузки', 'загружать', 'выгрузка', 'выкладывая', 'размещать', 'подгрузки', 'закачке', 'выгрузил', 'выкладывание', 'загрузка', 'загрузку', 'загрузке', 'загружая', 'загрузив', 'загрузить', 'выгрузку', 'выгрузки', 'выгрузке']"
